"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_1210_3225Metric";2;"4.7uF";;;
2;"C3, C6";"C_0402_1005Metric";2;"0.01uF";;;
3;"C4";"C_0805_2012Metric";1;"2200PF";;;
4;"C5";"C_0402_1005Metric";1;"22PF";;;
5;"C7";"C_0402_1005Metric";1;"100nF";;;
6;"C8, C9";"C_1206_3216Metric";2;"47uF";;;
7;"C10";"CP_Elec_10x10";1;"680uF";;;
8;"C11";"CP_Elec_8x10";1;"220uF";;;
9;"D1";"D_SMC";1;"500mV";;;
10;"D2";"D_SMB";1;"600W 20V TVS";;;
11;"D4";"D_SOD-123";1;"500mV";;;
12;"F1";"R_1206_3216Metric";1;"C1H25";;;
13;"J1";"BarrelJack_Horizontal";1;"RAPC10U";;;
14;"J2, J3, J4";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03_Pin";;;
15;"L1";"L_1210_3225Metric";1;"4.7uH";;;
16;"L2";"L_12x12mm_H4.5mm";1;"68uH";;;
17;"R1";"R_0805_2012Metric";1;"665K";;;
18;"R2";"R_0805_2012Metric";1;"130k";;;
19;"R3";"R_0805_2012Metric";1;"37.4";;;
20;"R4";"R_0805_2012Metric";1;"10.2K";;;
21;"R5";"R_0402_1005Metric";1;"1.96k";;;
22;"S1, S2";"PinHeader_1x01_P1.00mm_Horizontal";2;"Conn_01x01";;;
23;"U1";"TO-263-5_TabPin3";1;"LM2596S-12";;;
24;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"TPS54531DDAR";;;
